## برنامج الرياضيات - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
| ر٣١٧ | الدوال والدوال الخاصة | ر٢١٤ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٣٣ | نظرية احصائية | ر٢٣١ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣١٠ | جبر خطى (٢) | ر٢١٥ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٣٢٨ | ميكانيكا احصائية | ر٣٢٦ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **٢** | | | | **١٧** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **٢** | | | | **٣٤** | | | | | **١٤٠٠** | |

---

## برنامج الرياضيات - المستوى الرابع - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر٤١١ | نظرية المعادلات التفاضلية | ر٢١٤ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤١٣ | تحليل عددى (٢) | ر٣١٣ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر٤١٥ | جبر لى | ر٣١٥ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤١٦ | هندسة تفاضلية | ر٢١٨ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٢١ | بحوث عمليات | ر٣١٣ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٢٣ | ميكانيكا الكم | ر٣٢٦ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤١٨ | نظرية الشبكات | ر٢١٢ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٤١٩ | توبولوجى (٢) | ر٣١٦ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |

---

## برنامج الرياضيات - المستوى الرابع - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر٤٠٠ | مشروع بحث ومقال | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ٢٠ | ٢٠ | ٦٠ | ١٠٠ | |
| ر٤١٤ | تحليل دالى | ر٢١١ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٢٢ | النسبية العامة | ر٢٢٣ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٢٤ | ميكانيكا متقدمة | ر٣٢٦ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٢٥ | هيدروديناميكا | ر٢٢٣ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٢٩ | معادلات تفاضلية جزئية | ر٢١٤ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤١٢ | نظرية الاشكال | ر٢١٢ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٤٢٦ | نمذجة ومحاكاه | ر٢١٤ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٦** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **٢** | | | | **٣٣** | | | | | **١٤٠٠** | |

---

## برنامج الاحصاء وعلوم الحاسب - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١١ | تفاضل وتكامل (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر١٢١ | ميكانيكا (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف١٠١ | خواص المادة والحرارة | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ف١٠٢ | كهربية ومغناطيسية وضوء | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك١٠٢ | كيمياء عامة (٢) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع١٠١ | حقوق الإنسان ومكافحة الفساد | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٥٠٠** | |

---

## برنامج الاحصاء وعلوم الحاسب - المستوى الأول - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١٢ | جبر وهندسة | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر١١٣ | تفاضل وتكامل (٢) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر١٢٢ | ميكانيكا (٢) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف١٠٣ | دوائر كهربائية | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك١٠١ | كيمياء عامة (١) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع١٠٢ | مقدمة فى علم الحاسب | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **--** | | | | **٣٤** | | | | | **١١٠٠** | |

---

## برنامج الاحصاء وعلوم الحاسب - المستوى الثاني - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر٢١٢ | جبر مجرد (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢١٤ | معادلات تفاضلية (١) | ر١١٣ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢١٦ | تفاضل عالى | ر١١٣ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢٣١ | مقدمة فى الاحصاء والاحتمالات | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢٤١ | تنظيم الحاسبات ولغة التجميع | ع١٠٢ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع٢٠١ | مصطلحات علمية باللغة الإنجليزية | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | -- | ٩٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٦٠٠** | |

---

## برنامج الاحصاء وعلوم الحاسب - المستوى الثاني - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر٢١١ | تحليل حقيقى | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢١٥ | جبر خطى (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢١٩ | رياضيات متقطعة | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢٣٢ | نظرية الاحتمالات (١) | ر٢٣١ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢٢٢ | أسس نظرية الكهرومغناطيسية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢٤٢ | انظمة جبر الحاسب | ع١٠٢ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٢٤٣ | نظرية شبكات الحاسب | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ع٢٠٢ - ع٢١٠ | مواد ثقافية (اختيار مقرر واحد) | -- | -- | ١ | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٥** | **٢** | | | | **١٧** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١١** | **٢** | | | | **٣٤** | | | | | **١٢٠٠** | |

---

## برنامج الاحصاء وعلوم الحاسب - المستوى الثالث - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر٣١١ | نظرية القياس | ر٢١١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣١٣ | تحليل عددى (١) | ر٢١٤ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر٣٣١ | نظرية الاحتمالات (٢) | ر٢٣١ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٣٤ | توزيعات وطرق معاينة | ر٢٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٤١ | هياكل بيانات | ع١٠٢ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر٣٤٢ | نظم قواعد البيانات | ع١٠٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٣٨ | الاحصاءات المرتبه | ر٢٣١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٣٤٦ | تحليل وتصميم نظم | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |

---

## برنامج الاحصاء وعلوم الحاسب - المستوى الثالث - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر٣١٧ | الدوال والدوال خاصة | ر٢١٤ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٣٢ | نظرية التقديرات | ر٢٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٣٧ | اختبارات الفروض | ر٢٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٤٥ | نظم التشغيل | ع١٠٢ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر٣٤٣ | ذكاء اصطناعى | ر٢١٧ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٤٤ | برمجة هيكلية | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر٣٣٦ | تحليل بيانات باستخدام البرامج الاحصائية | ر٢٣١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٣٤٨ | مواضيع مختارة من الحاسب | ع١٠٢ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **٢** | | | | **٣٤** | | | | | **١٤٠٠** | |

---

## برنامج الاحصاء وعلوم الحاسب - المستوى الرابع - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر٤١٨ | نظرية الشبكات | ر٢١٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٢١ | بحوث عمليات | ر٣١٣ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٣١ | تحليل تباين | ر٢٣١ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٣٢ | عمليات عشوائية | ر٢٣١ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٤١ | هندسة برمجيات | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٤٢ | شبكات عصبية | ر٣٤٥ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٣٣ | احصاءات لامعلمية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٤٤٣ | نظم خبيرة | ر٣٤٥ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |

---

## برنامج الاحصاء وعلوم الحاسب - المستوى الرابع - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
